R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
4600,1,4,1980,1,429,4,4030,4250,-4,-4,-4,6660,6660,1100,110,110,110,110,110,110,10
4601,2,10,1980,1,429,4,4130,3950,-5,4720,4720,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
4602,1,2,1983,1,429,4,-4,-4,9620,9620,9620,9620,9620,9620,9620,9620,9620,9620,9620,9620,9620
4603,2,10,1983,1,429,4,-4,-4,-4,4140,4600,4720,4720,3500,3500,3500,3500,3500,3500,3500,3130
4604,1,10,1980,1,-5,4,4030,-5,-5,-3,-5,-5,4720,4720,-5,-5,-5,-5,-5,-5,-5
4605,2,1,1983,1,-5,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4606,1,10,1983,1,-5,4,-4,-4,8300,4140,6260,4250,4250,6230,4250,220,9990,4250,6260,6260,-5
4607,2,3,1984,1,429,4,-4,-4,4110,4720,4140,4110,4110,4110,4110,4110,4110,5700,5700,5700,4030
4608,2,3,1983,1,429,4,-4,-4,5700,5560,4720,2630,7750,-4,4610,4610,3600,3600,3600,3600,4950
4609,1,4,1984,1,429,4,-4,-4,-4,-4,-4,8960,8960,8960,-4,-4,-5,-4,-4,-4,-4
4610,2,4,1982,1,-5,4,4720,4020,4960,4760,4700,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4611,2,1,1983,1,429,4,-4,-4,9620,9620,4050,-5,4720,4720,4700,4700,5400,4510,4510,4510,4510
4612,2,9,1984,1,429,4,-4,-4,-4,-4,4220,5260,5240,5860,5860,5860,2310,2310,2310,2310,2310
4613,1,11,1980,1,429,3,-4,-4,9310,9310,9310,5240,4020,9130,5620,5620,6260,4250,4130,4220,5620
4614,1,3,1981,1,429,2,4050,4010,4850,4850,-3,6260,6260,120,120,120,9130,6260,6260,6350,6350
4615,1,1,1982,1,429,4,-4,-4,9620,9600,9600,9600,8140,8140,8140,6710,6710,6710,6710,6710,6710
4616,1,12,1980,1,429,4,-4,7200,-5,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
4617,1,1,1981,1,429,4,4220,4220,4220,7120,7120,7120,7020,7200,7200,7200,7200,7200,7200,7200,7200
4618,2,8,1983,1,429,4,-4,-4,4600,4600,2300,5240,-5,4920,4920,4830,4830,4830,4830,-5,4830
4619,2,9,1982,1,-5,4,-4,4230,4230,4130,4110,4110,4110,4110,3220,3220,3220,3220,3220,3220,-5
4620,2,8,1983,1,429,4,-4,-4,-4,5240,-3,-5,-5,-5,310,4010,4010,4010,4040,4040,4040
4621,2,6,1983,1,429,1,-4,-4,4720,4720,4700,4700,4030,4030,4760,310,310,310,-4,-4,-4
4622,1,6,1982,1,429,4,-4,5620,4760,8540,8540,8540,8540,8540,6350,4220,4220,-4,730,8740,8740
4623,1,2,1984,1,429,4,-4,-4,-4,4430,5620,4720,4720,4720,4720,4720,4720,5620,5620,5620,6350
4624,1,8,1983,1,429,4,-4,8230,8230,3950,4740,4020,9620,8040,8040,6230,-5,-5,-4,-4,430
4625,1,2,1982,1,429,1,-4,-4,-5,9620,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4626,2,6,1982,1,429,4,-4,4720,4720,4050,4720,5400,4720,8830,8830,9990,5400,5400,5400,5400,5400
4627,1,8,1981,1,-5,4,-4,4220,-5,4250,6260,-4,9610,-4,-4,-4,6400,6420,6420,6420,-5
4628,2,2,1980,1,429,4,4020,4720,4760,5620,-5,5400,3920,3920,3920,5000,5110,5110,4220,4220,4220
4629,1,4,1981,1,429,4,4620,2000,420,420,-4,5320,5320,2340,5930,4030,7800,2310,7800,2310,2430
4630,2,1,1984,1,429,4,-4,-4,-4,4020,4600,1960,1960,1960,3740,1640,1960,1960,620,620,2340
4631,1,8,1982,1,429,3,-4,-4,-4,4250,4030,5300,5300,5300,5300,-4,5300,2100,2100,2100,2100
4632,1,8,1980,1,-5,4,-4,4140,9620,4740,9150,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4633,2,11,1983,1,429,3,-4,-4,4350,4030,4350,4350,4350,4350,4350,3500,3500,3500,3500,3500,3130
4634,2,9,1982,1,429,4,-4,-5,2060,2060,2300,2300,4600,4600,4620,4620,4620,4620,4620,4620,4620
4635,2,11,1983,1,429,4,-4,-5,4130,4130,4130,4110,4110,4130,4110,4110,4000,4000,4110,4110,4110
4636,1,11,1983,1,-5,2,-4,-4,-4,2300,2300,4850,2300,4430,4030,4030,4030,4030,4030,4030,-5
4637,1,12,1981,1,429,2,-4,-4,4130,4130,4130,4020,4020,9620,9620,9620,8540,-4,4430,4430,5620
4638,1,9,1983,1,429,2,4600,-4,-4,4050,4050,4010,4010,9750,8800,9620,9620,9620,9620,9600,9600
4639,1,6,1983,1,429,1,-4,-4,2820,2820,4430,4250,4250,-5,-4,-4,-4,-4,-4,-4,1640
4640,1,1,1981,1,429,4,-4,-4,4020,4900,4900,4900,4900,-4,-3,8800,9600,9600,9600,9600,9600
4641,1,10,1981,1,-5,4,-4,-4,6230,3740,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4642,1,1,1984,1,-5,4,-4,-4,-4,6260,-3,6260,6260,6230,6230,6230,3740,3740,-5,-5,-5
4643,1,2,1980,1,429,4,-4,4720,5850,4940,4940,5300,5000,340,340,50,50,50,50,5000,50
4644,1,6,1984,1,-5,4,-4,-4,-4,-4,6420,-4,9350,-4,-4,4810,-5,-5,4110,-5,-5
4645,1,2,1983,1,429,4,-4,-4,-4,-4,-4,6260,4060,4220,2000,1020,1020,1020,1020,1020,1020
4646,1,10,1983,1,429,4,-4,-4,4250,-4,4250,2540,4620,2340,2200,2200,2310,2200,2200,2200,1760
4647,2,9,1982,1,429,4,4900,-4,4060,4650,2720,2340,4760,5160,5160,2540,5240,5840,5840,4960,4960
4648,2,7,1984,1,429,4,-4,-4,-4,-4,9620,4520,9990,4760,4760,-4,4430,4430,4610,-4,2010
4649,2,4,1981,1,429,4,-4,-4,4720,9620,4130,4150,4030,4720,4760,4760,4760,9360,9360,7800,4020
4650,2,3,1980,1,429,1,4950,4950,-4,4600,-4,4600,4600,4600,-4,-4,-4,-4,-4,-4,-4
4651,2,5,1983,1,429,1,-4,-4,-5,4720,8300,4140,-4,-4,4600,4600,-5,2300,-5,-4,-4
4652,2,8,1980,1,-5,1,4020,4720,5240,4700,4430,4020,-5,-5,-5,-5,-5,-5,-5,-5,-5
4653,1,1,1983,1,-5,1,-4,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
4654,1,9,1982,1,429,1,-4,-4,9620,9620,420,4620,420,5700,2430,2430,2000,620,5160,5160,4610
4655,2,7,1981,1,429,4,-4,-4,4720,3600,3600,3500,-4,-4,-4,-4,50,50,50,50,4610
4656,2,2,1980,1,429,1,-4,4010,4020,4030,4720,5700,5240,5240,5240,5240,5240,5240,5240,5240,4720
4657,2,7,1982,1,429,1,-4,4220,-4,-4,4600,4050,4430,-5,-5,4600,4600,4600,-4,-4,4600
4658,2,1,1980,1,429,1,-4,-4,2540,3600,3600,3600,3600,3600,3600,4610,4610,4610,4610,-4,4610
4659,1,11,1981,1,-5,1,-4,5620,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4660,1,2,1980,1,429,1,4950,4940,4940,4430,5000,5000,5000,5000,4700,4700,4710,4710,5000,9130,9130
4661,1,10,1980,1,429,4,-4,9620,9130,6330,6050,340,4960,9620,9130,9620,8140,9130,9130,9130,9130
4662,2,12,1984,1,429,4,-4,-4,-4,4010,-4,4760,4030,-5,4150,-5,-5,-5,4110,4110,4110
4663,1,10,1980,1,429,4,-4,-4,4760,5000,5000,4700,4760,-5,-5,4760,-5,4700,4700,4700,4840
4664,2,10,1984,1,429,4,-4,-4,-4,-4,-4,4350,4350,4350,4350,4350,4320,4320,4350,4350,4350
4665,1,7,1980,1,-5,4,-4,-4,8260,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5
4666,1,4,1982,1,429,4,-4,8810,4760,9640,-3,-3,7410,7410,7410,5010,9840,-3,-3,-3,-3
4667,2,12,1984,1,429,4,-4,-4,4250,5700,5700,-5,4720,4720,4020,4000,4700,4720,-5,4720,4720
4668,1,3,1982,1,429,2,6260,4230,4230,6420,9630,6420,7310,7310,7310,7310,7310,8810,8810,6260,6260
4669,1,11,1983,1,429,4,-4,-4,-4,-4,4220,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
4670,2,12,1981,1,429,2,-4,-4,-4,-4,4940,4700,4700,4700,4700,4940,4960,-4,5240,5240,2010
4671,2,9,1983,1,429,2,-4,-4,4720,4720,4230,5120,5260,5860,5860,5860,5860,5120,5120,5120,5120
4672,2,5,1981,1,429,4,9610,4150,2740,5400,-5,-5,-5,-5,-5,5230,5700,5700,5930,5700,5260
4673,2,7,1984,1,429,4,-4,4230,-4,5400,4230,5120,5120,5120,5120,5120,5120,5120,5120,5120,5000
4674,2,11,1982,1,429,4,-4,-4,-4,-4,700,4760,4760,4700,-4,5620,4700,4700,4720,4720,4720
4675,2,11,1980,1,429,1,5860,-4,4720,4720,4720,-4,4510,4510,4510,4510,4510,4510,-3,-3,-3
4676,2,4,1981,1,429,4,-4,-4,4720,4230,4230,-5,-5,5400,-5,-5,720,720,-4,-4,4220
4677,2,12,1982,1,429,4,-4,-4,-4,4740,4720,-5,4720,4720,4720,4720,4720,4720,-4,-4,-4
4678,2,5,1981,1,429,2,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4679,1,1,1983,1,429,2,-4,-4,4060,-4,4720,4130,4040,4110,4110,4110,4110,-4,-4,-4,-4
4680,1,8,1982,1,429,4,-4,6260,6260,4030,8300,4030,6260,6260,8800,8220,8140,6520,4020,4220,4760
4681,1,7,1984,1,429,4,-4,-4,4950,-5,4020,430,5240,5240,4760,4760,4850,9620,5620,9620,9600
4682,1,3,1980,1,429,3,9610,9600,6260,-5,-5,4720,8220,4250,9600,4250,4700,4700,-4,-5,8300
4683,2,12,1981,1,429,3,-4,4720,4720,4940,-5,-5,4920,410,410,410,410,410,410,-4,4610
4684,2,9,1983,1,429,3,-4,-4,-4,4220,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2140
4685,2,6,1980,1,429,4,4720,5160,5240,5240,4760,430,430,-5,430,-5,430,430,430,430,4700
4686,2,4,1982,1,-5,3,-4,-4,-4,2540,2540,2540,2540,2540,5700,5000,230,230,-5,-5,-5
4687,2,12,1984,1,429,4,-4,-4,-4,4760,4720,8830,5220,5110,5110,5120,5120,5240,5240,5840,5840
4688,2,9,1980,1,429,4,-4,3600,3600,5400,3600,5620,3130,-5,-5,-5,3130,3130,3130,3130,3130
4689,2,5,1983,1,-5,4,-4,-4,-4,5860,-4,-4,5400,5400,5860,5260,5860,5860,-5,-5,-5
4690,1,4,1980,1,429,4,4950,6330,9620,6260,3650,3650,3650,3650,3650,3650,6330,-4,7420,160,-4
4691,1,3,1983,1,429,4,-4,-4,-4,-4,-4,6420,7020,7020,4250,5860,7420,7420,7420,7420,6350
4692,1,1,1980,1,429,4,7200,7200,-5,7010,6230,7200,7200,-4,4700,4700,7200,7200,7200,7200,7200
4693,1,6,1981,1,429,2,4950,-4,4050,4020,4020,4220,6260,4020,4130,8640,6230,8140,6230,4220,9600
4694,2,6,1984,1,429,2,-4,-5,-4,4050,4720,-3,-3,-5,-3,5860,4720,4720,4030,4030,3130
4695,2,2,1980,1,429,2,-4,-5,-5,-5,-5,4050,4030,8960,8960,8960,8960,8960,8960,8960,8960
4696,2,2,1981,1,429,2,-4,-4,4760,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110
4697,2,3,1984,1,429,4,-4,-4,-4,-4,-4,-4,-4,4610,4610,4610,4610,4610,2000,2020,2020
4698,2,8,1981,1,429,2,-4,-4,-4,-5,-4,-4,-5,-5,-5,-5,5930,5930,5240,-5,5240
4699,2,8,1981,1,429,2,-4,-4,-4,-5,-4,4320,-5,-5,-5,-5,4320,5700,5700,-5,4520
4700,2,10,1982,1,429,2,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,800,800,-4,-4,-4
4701,1,10,1984,1,429,2,-4,6260,-4,9620,4020,4750,4220,9600,-5,4010,4010,4010,8960,4010,9990
4702,1,4,1984,1,429,2,-4,-4,-4,-4,-4,4720,4720,4720,-4,1020,1020,-5,1020,1020,1100
4703,1,8,1982,1,-5,3,-4,-4,-4,4020,8950,4720,4030,-5,-5,-5,-5,-5,-5,-5,-5
4704,2,7,1983,1,-5,4,-4,-4,9610,4130,4150,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4705,1,5,1981,1,429,2,-4,9350,-5,9130,-5,-5,-5,6720,-5,-5,5930,5930,5930,9000,20
4706,2,8,1981,1,-5,2,4110,4720,5630,4110,4110,-5,2200,2100,2100,2100,2100,2100,2100,2100,-5
4707,2,9,1984,1,429,2,-4,-4,-4,4720,4720,-5,4050,4700,4700,4700,-5,-5,4010,4010,4010
4708,2,3,1982,1,429,4,5700,5700,5820,4760,4760,4900,4900,4700,4700,-4,4030,-4,-4,-4,-4
4709,1,1,1983,1,429,4,5110,5110,-4,-4,-4,4220,9620,5620,8200,9600,4840,9600,9600,9600,9620
4710,1,6,1980,1,429,4,5240,5240,9840,1110,1110,1110,1110,1110,1110,3400,3400,3400,3400,3400,3400
4711,2,9,1982,1,429,4,-4,4720,3320,4760,2720,2630,4700,4700,4700,720,720,-4,-4,4760,1810
4712,1,10,1983,1,-5,4,-4,-4,-4,4060,6050,9360,6520,6520,6520,4960,9130,6260,6260,6260,-5
4713,1,1,1981,1,-5,4,-4,4220,9620,-5,-5,-5,-5,6250,6230,6230,-5,8140,-5,-5,-5
4714,2,5,1981,1,429,4,5120,5120,5120,5120,4760,5120,5120,5120,5400,5120,-4,-4,-4,-4,-4
4715,2,1,1982,1,429,2,-4,-4,-4,-5,-5,5300,5300,5300,5300,5300,2060,4720,4610,4610,9990
4716,2,6,1984,1,429,4,-4,-4,-4,4720,4720,3640,5400,3640,3640,3640,2300,2300,3640,3640,-4
4717,1,8,1980,1,429,2,4140,8800,-5,-5,-5,-5,8800,8800,-5,8800,6050,6050,6050,-5,6050
4718,2,9,1981,1,429,2,5240,4030,-5,3240,3240,3240,3240,3240,3240,3240,3650,-4,-4,-4,-4
4719,2,3,1980,1,429,4,-4,4760,5020,5860,2020,2020,2020,3240,1820,1820,1820,1820,1820,1820,1820
4720,2,4,1983,1,-5,4,-4,4350,4350,2300,5400,5400,5400,5860,5860,5860,5860,5140,-5,-5,-5
4721,2,2,1980,1,429,4,-4,-4,4030,4030,4700,4720,4720,-4,5400,5100,9620,4850,4850,4850,4520
4722,2,4,1982,1,429,4,-4,-4,4720,5300,4720,5510,5510,5510,5510,5510,5510,5510,5510,5510,2540
4723,2,7,1982,1,429,4,-4,-4,-4,-4,-4,-4,-4,-4,4010,4010,4010,4010,4010,4010,4060
4724,1,2,1980,1,429,3,5400,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1040
4725,2,3,1980,1,-5,4,-4,4130,9610,9610,2630,4760,4760,4840,4760,4760,2630,-5,-5,-5,-5
4726,2,7,1981,1,429,4,-4,4150,4110,3600,4720,4720,4720,4720,4720,4050,4110,4110,4110,-4,3600
4727,1,11,1982,1,-5,4,6050,6050,6050,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4728,2,4,1982,1,429,4,4220,4220,4220,-4,4720,5160,5160,5160,5240,5240,5240,5240,5700,120,120
4729,2,11,1981,1,429,4,-4,-4,4760,4600,-5,-5,-5,-5,-5,-5,-5,540,-4,-4,-4
4730,2,5,1981,1,429,4,4600,4060,4060,3950,4600,4600,2310,2310,2310,2310,2310,2310,2550,2550,2550
4731,1,5,1981,1,429,4,2340,7010,4020,4020,4020,4020,7010,7010,7010,7010,1100,1100,1100,1100,1100
4732,2,10,1983,1,429,4,-4,2340,2340,2720,2720,2340,2340,2340,1410,1400,1400,1400,1400,1400,1400
4733,2,1,1984,1,429,2,-4,-4,-4,-4,4050,4720,3640,3640,3640,3640,3640,3640,-4,-4,4020
4734,1,1,1983,1,429,2,-4,-4,6260,6260,6260,9600,9600,9600,9600,9600,9600,9600,9600,9600,5620
4735,1,3,1980,1,429,2,-4,4140,9640,4020,8960,5620,5620,5620,5620,8960,8960,-4,2630,9600,2630
4736,1,8,1984,1,429,4,-4,-4,1110,-4,4220,4740,4760,4530,5300,1110,5830,5620,5620,5620,-4
4737,1,2,1982,1,429,4,-4,-4,-4,5240,9130,5240,6230,5620,-5,8220,8220,8220,8960,8960,8220
4738,2,7,1980,1,-5,4,4020,4110,4510,4520,4520,4810,-5,4510,-5,-5,4510,-5,-5,-5,-5
4739,2,3,1982,1,429,2,4600,-4,-4,4720,4600,4110,4600,4640,4640,4640,2010,2010,1960,1960,1960
4740,1,8,1980,1,429,2,-4,4220,4250,-4,4720,4610,4610,7700,7700,7700,50,5000,5000,5000,5000
4741,2,10,1982,1,-5,2,-4,-4,-4,4600,-4,4600,4600,4600,4600,4600,-4,4600,4600,2540,-5
4742,2,8,1981,1,429,2,-4,4150,4150,-4,-4,4110,4110,2540,2540,5900,4720,4700,4700,-4,-4
4743,1,10,1982,1,429,1,5930,-4,-4,7340,4220,4220,4220,3800,3800,3800,3800,3800,3800,3800,3800
4744,1,8,1983,1,429,4,-4,-4,-4,9610,8960,7330,7000,140,140,140,1550,-5,-5,1550,1460
4745,1,1,1983,1,429,2,-4,-4,4020,4030,6600,7750,6260,9610,5620,5620,5620,5620,5620,5620,5620
4746,1,2,1983,1,-5,4,-4,4220,4020,-4,1040,-5,1020,-5,-5,-5,-5,-5,-5,-5,-5
4747,2,1,1980,1,429,1,-4,4760,4760,5810,5810,2010,120,340,2000,2000,430,430,5700,5700,4700
4748,2,1,1983,1,429,4,-4,-4,-4,-4,5240,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4
4749,1,4,1980,1,429,4,6260,6260,-4,6260,6440,4250,4740,7750,4700,4050,5620,4700,4700,4700,9600
4750,1,12,1982,1,429,4,-4,7620,-4,7620,4850,4850,20,20,9600,9600,9600,9600,5000,5000,5000
4751,1,11,1981,1,429,4,-4,-5,3950,3950,1960,1960,1960,1960,1960,1110,1110,1110,1010,1010,1010
4752,1,2,1981,1,429,4,2700,2700,-4,-4,4140,4140,5240,5240,9620,9620,9620,9620,9620,9620,9620
4753,2,6,1982,1,429,4,-4,4720,-4,4720,4150,4150,4150,4150,4700,620,130,130,130,130,130
4754,2,10,1981,1,429,4,-4,-5,-5,4720,910,4760,4760,4710,4760,520,4110,5700,5700,9000,5400
4755,2,11,1980,1,429,2,-4,4720,-5,4110,4760,4760,4110,4040,4110,4110,4110,4110,-4,-4,50
4756,2,10,1980,1,-5,4,4720,5620,5620,4760,4760,4810,-5,-5,-5,-5,-5,-5,-5,-5,-5
4757,2,9,1983,1,429,4,-4,-4,-4,-4,4600,4760,4760,4760,430,-5,5240,910,120,4710,9990
4758,2,6,1980,1,429,1,4220,-5,-5,5700,5810,-5,730,730,4110,2010,2010,5700,5700,5700,5700
4759,1,5,1981,1,429,4,-4,2440,-4,4030,4030,4600,4030,4030,6120,4030,4250,1960,3720,3720,3720
4760,2,12,1984,1,429,4,-4,-4,-4,-4,5860,-4,5860,5860,4230,5260,5240,5240,5240,5240,5240
4761,2,11,1983,1,429,4,-4,230,-5,4720,230,310,9620,4110,4110,4110,4510,4320,4510,4510,4950
4762,1,10,1984,1,429,2,-4,-4,-4,-4,4110,7010,5620,4110,4110,4110,-5,4040,-5,4110,4110
4763,1,4,1983,1,429,4,-4,2750,7010,2750,2750,2750,2750,2750,1110,1010,1020,1020,20,20,300
4764,1,1,1981,1,429,2,4220,4720,6260,7720,7720,7750,7750,7700,7700,7700,7700,7700,7700,7700,7700
4765,1,6,1981,1,429,4,4220,4020,4010,1040,-5,5240,5120,4710,4710,4710,4710,4710,5240,950,950
4766,1,11,1980,1,429,2,-4,-4,-5,5510,4220,-5,-5,-5,-5,-5,7610,7610,-5,6260,6260
4767,2,2,1984,1,-5,2,-4,-4,-5,4720,4720,-5,-5,-5,4610,-5,5100,4720,-5,-5,-5
4768,2,9,1982,1,429,2,-4,-4,-4,-4,-4,4720,4220,8740,8740,8740,-4,-4,-4,-4,-4
4769,1,7,1980,1,429,4,5620,9620,-5,-5,4110,4110,9000,2340,3850,3850,3850,3850,3850,3850,3850
4770,2,4,1980,1,429,4,5820,4760,4760,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,5700,310
4771,2,11,1983,1,429,4,-4,4420,-4,2630,5260,4760,9350,-5,4110,-5,4040,-5,-5,-5,4040
4772,2,1,1984,1,429,2,-4,-4,4060,4740,4740,4650,4720,4760,-4,4510,4510,5400,5400,3650,4510
4773,2,12,1980,1,429,2,5510,4020,5620,5620,5620,5620,5620,5620,5620,5620,5620,5620,5620,5620,5620
4774,1,3,1983,1,429,2,-4,-4,-4,9350,9350,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
4775,2,11,1983,1,429,2,-4,-4,-4,4760,4760,4760,4760,3510,5810,5820,5820,5820,5820,730,730
4776,1,7,1983,1,429,2,-4,9620,4720,4720,5260,2540,2540,2720,2720,2720,2020,2020,2020,2020,2020
4777,2,12,1980,1,429,2,-4,9350,4700,9350,9350,-5,9620,3920,3920,4700,4700,5400,-5,4720,5400
4778,2,7,1981,1,429,2,-4,4720,6050,6050,6050,5120,4230,5140,5140,5000,4010,4230,4230,4230,4230
4779,2,1,1983,1,429,2,-4,-4,-4,4760,4760,4400,-4,-4,-3,1040,1000,1000,1040,1040,1040
4780,1,3,1980,1,429,2,4760,4760,4250,2540,2540,2540,10,10,10,10,10,10,10,10,10
4781,1,2,1980,1,429,4,4110,-4,9620,4250,4250,5620,5620,-4,-4,4250,4250,4250,4250,4250,4250
4782,1,2,1981,1,429,2,4140,4140,9360,9360,-3,-3,-3,-3,-3,-3,1320,1320,1320,1320,1320
4783,2,11,1982,1,429,2,-4,4720,4720,4030,4030,4720,5860,5120,5400,5400,5400,5400,5400,5400,5000
4784,2,11,1983,1,429,2,-4,-4,-4,4050,4050,5400,4010,4010,310,310,3600,3600,3600,3600,3600
4785,2,2,1980,1,429,2,4720,4720,4720,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
4786,2,11,1983,1,429,2,-4,-4,-4,4050,4600,5400,5000,5330,5330,5400,5230,150,730,5400,5700
4787,1,6,1982,1,429,4,-4,2720,2720,-4,4030,-5,2720,2720,2720,-5,3540,3540,3540,3540,4620
4788,1,9,1980,1,429,4,4720,9350,9350,4040,-4,8740,8740,5240,4940,2200,2200,1760,1760,1760,5400
4789,2,4,1982,1,429,4,-4,5700,-4,-4,4600,4600,-4,5240,5240,2630,5700,5240,5240,5240,5240
4790,1,7,1983,1,429,4,-4,-4,4760,4760,9620,-4,7720,-4,-4,-4,-4,-4,5930,5930,-4
4791,1,8,1980,1,-5,4,4720,6520,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4792,2,3,1982,1,429,4,-4,-4,-4,4720,4720,4220,4760,4760,4760,4760,4760,4760,7810,7810,5240
4793,1,6,1980,1,429,4,5930,4620,5240,1110,2630,2630,4760,4760,-5,2630,2630,2630,2630,-5,2630
4794,1,1,1981,1,-5,4,-4,-5,-5,-4,5240,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4795,2,2,1981,1,429,2,-4,-4,5800,5800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4796,2,8,1981,1,429,4,-4,4940,4760,4940,4940,5260,5260,5860,5860,5860,3650,3650,3650,3650,4720
4797,2,1,1984,1,429,4,-4,-4,-4,4050,-4,4720,5240,5240,5240,4850,5930,5860,5930,5930,5700
4798,1,11,1984,1,429,2,-4,-4,-4,-4,-4,4060,4060,-4,-4,2900,2900,2900,8030,2920,2200
4799,1,4,1981,1,429,4,4060,4250,5320,1100,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1000
4800,1,12,1982,1,-5,4,-4,4720,4720,4050,9620,6260,-5,-5,7220,-5,-5,7220,7220,-5,-5
4801,2,4,1983,1,429,4,-4,-4,8830,4140,4110,3600,3600,4040,5160,3600,5820,8760,8760,4650,-4
4802,2,3,1982,1,429,4,-4,-4,4720,2000,3600,3600,4600,4600,-4,-4,3060,3060,3060,3060,3060
4803,1,2,1983,1,429,4,-4,4720,4720,5620,4760,6230,6230,6230,6230,-4,-4,-4,-4,-4,6230
4804,2,1,1982,1,429,4,-4,4720,4720,4700,5260,-5,4810,4810,-5,4810,4810,540,540,540,540
4805,1,4,1983,1,429,4,-4,-4,4720,5610,5620,-3,-3,8500,4760,4700,4700,4700,4700,4700,4700
4806,2,3,1982,1,-5,4,-4,9360,8300,7850,3410,4110,9110,9110,3400,3400,3400,-5,-5,-5,-5
4807,2,11,1982,1,-5,4,-4,4720,4600,4600,4600,4510,4510,-5,-5,-5,-5,-5,-5,-5,-5
4808,1,9,1980,1,429,4,4250,4250,5610,6330,6510,8060,6260,9130,9130,-4,6230,5610,8960,8960,8960
4809,2,8,1984,1,429,4,-4,-4,-5,-5,-4,4600,-4,-4,5930,5930,5620,4720,4720,4720,4740
4810,1,3,1982,1,-5,4,4140,6420,4720,5610,-4,-4,8960,-4,-4,4220,4020,4020,4250,4250,-5
4811,2,8,1984,1,429,4,-4,-4,-4,4050,5620,4710,8740,5610,5610,5610,9620,2540,-4,-4,3510
4812,2,12,1983,1,429,4,-4,-4,4600,4600,4600,4600,5700,5700,4720,4720,4720,2300,2300,2300,2300
4813,1,4,1982,1,429,4,-4,5620,4140,4140,4010,4010,4010,4010,4000,4110,4110,5700,5700,5700,5700
4814,1,3,1983,1,429,4,-4,-4,4110,8960,4030,4540,4540,2320,2320,2320,2320,2320,2200,2200,2850
4815,2,10,1983,1,429,4,-4,5620,5620,5620,2440,4720,4940,2750,2750,2750,2750,9990,2200,2200,2200
4816,2,3,1980,1,429,4,2340,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110,4110,4010
4817,1,3,1981,1,429,4,4140,4720,5610,-5,4020,4020,-4,5400,230,-4,230,230,230,-4,4020
4818,1,1,1984,1,429,4,-4,-4,-4,4220,4220,6230,9620,9620,5310,5310,110,110,110,110,110
4819,1,1,1982,1,-5,4,6050,6260,6260,6260,6260,6260,6260,6260,4740,-4,-4,6250,6230,-5,-5
4820,1,3,1982,1,429,4,5620,9620,9620,9620,-3,4850,4710,4710,1060,1060,-5,1060,1060,1060,1060
4821,2,11,1983,1,-5,4,-4,5260,-4,4150,-3,2540,2540,4110,4600,4600,-5,-5,-5,4110,-5
