R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
1604,2,1,1980,1,429,4,3950,3950,4720,4110,4110,310,4110,4110,4110,4110,4110,4110,4600,4600,4600
1605,2,12,1982,1,429,4,-4,4130,4230,5700,5360,4430,4150,4110,4850,4850,1110,1110,1110,1110,1110
1606,2,3,1982,1,429,2,-4,-4,-5,-5,4720,-4,-5,-5,3650,3650,3650,3650,3650,-4,3650
1607,1,3,1983,1,429,2,-4,800,-5,-4,5620,-5,6420,8960,-5,-5,8960,-5,8960,8960,8960
1608,2,11,1980,1,-5,4,4720,4010,-5,4720,-5,4010,-5,-5,-5,-5,-5,-5,-5,-5,-5
1609,1,3,1983,1,429,4,-4,4720,-5,-4,4220,-5,-4,-5,-5,-5,4000,-4,-4,-4,-4
1610,2,7,1982,1,-5,4,-4,-5,4620,4620,-5,5700,-5,-5,500,-5,4900,4900,4900,-5,-5
1611,2,7,1982,1,-5,4,-4,4720,-4,-5,-5,-5,-5,-5,4040,-5,-5,-5,-5,-5,-5
1612,2,7,1982,1,429,4,-4,4620,5400,4110,4110,4110,4010,4700,4110,4110,20,20,20,5600,4520
1613,1,4,1983,1,-5,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1614,2,10,1980,1,429,4,5700,5400,-4,5400,5400,4110,5700,5700,4920,4920,4600,4600,4600,4600,3240
