A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,2829,3,2,276,254,274,-4,383,383,313,319,385,19,-4,-4,-4,468,55,-4
445,2830,3,1,365,877,785,709,579,579,579,-5,-5,-5,-5,579,714,714,727,593
445,2831,3,2,458,19,458,274,243,29,19,434,434,434,274,275,458,458,243,458
445,2832,3,1,885,756,785,883,567,453,365,593,593,274,593,558,424,424,424,-4
445,2833,3,1,243,686,686,686,686,686,686,686,243,19,19,19,243,243,243,243
445,2834,3,2,405,276,405,406,276,256,276,308,308,276,337,337,-3,337,337,337
445,2835,3,2,744,777,744,686,274,438,687,274,436,-5,687,276,276,19,307,-5
445,2836,3,1,639,453,479,558,558,597,889,584,558,19,19,375,375,375,-3,375
445,2837,3,1,526,364,364,885,505,453,526,534,534,534,534,487,534,889,596,596
445,2838,3,1,389,639,387,128,128,235,216,214,523,538,547,534,534,59,56,56
445,2839,3,1,634,217,185,217,185,217,217,217,217,217,217,217,56,56,57,57
445,2840,3,2,276,308,223,235,229,7,319,64,64,229,19,19,19,19,64,19
445,2841,3,2,206,203,447,203,206,206,89,206,206,208,208,208,208,206,206,206
445,2842,3,1,217,217,65,389,37,274,243,19,254,254,254,254,16,254,254,389
445,2843,3,2,438,307,19,206,206,206,447,208,206,206,235,208,208,25,23,23
445,2844,3,1,59,217,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2845,3,1,444,433,19,449,157,126,323,216,235,235,323,195,235,235,154,154
445,2846,3,2,364,389,438,444,379,165,313,315,308,313,14,337,14,235,195,389
445,2847,3,2,877,389,438,437,-5,363,229,308,379,274,389,253,336,336,234,235
445,2848,3,2,19,449,229,229,14,229,736,64,229,64,229,64,64,64,64,64
445,2849,3,2,229,308,229,229,229,229,229,229,229,229,59,229,64,59,335,64
445,2850,3,2,335,166,7,7,229,223,25,213,254,253,23,25,19,7,7,19
445,2851,3,1,459,459,199,389,23,23,337,23,337,23,313,23,23,26,19,19
445,2852,3,1,889,805,573,547,516,567,554,567,805,567,567,567,567,844,844,856
445,2853,3,1,479,276,657,769,657,657,657,453,766,889,36,796,-4,496,347,856
445,2854,3,1,805,777,496,486,-4,-4,-4,-4,-4,-4,889,486,889,804,485,485
445,2855,3,2,276,276,19,276,276,276,276,253,253,-4,-4,-4,-4,19,303,313
445,2856,3,2,276,276,19,19,19,19,19,276,254,313,389,313,328,363,426,426
445,2857,3,1,869,567,567,558,567,-5,558,-5,-5,-5,558,307,307,567,567,-5
445,2858,3,1,365,365,365,274,268,453,447,453,453,448,19,453,453,453,413,-3
445,2859,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2860,3,1,-4,439,883,804,453,804,889,365,365,889,889,889,889,64,64,64
445,2861,3,1,65,229,48,225,235,65,59,55,45,216,185,59,59,19,-5,55
445,2862,3,2,406,434,434,434,434,-5,-5,-5,-5,-5,-5,-5,-5,234,234,-5
445,2863,3,2,777,734,637,194,274,55,213,735,734,735,188,735,188,188,188,188
445,2864,3,2,276,405,405,405,405,588,407,436,468,468,268,-4,-4,-4,14,14
445,2865,3,2,274,274,785,274,438,275,97,446,446,446,446,446,-3,357,243,-4
445,2866,3,1,558,689,558,558,37,889,567,657,558,19,19,19,19,19,243,243
445,2867,3,2,438,784,784,438,433,319,453,405,449,469,447,407,407,447,-4,-4
445,2868,3,1,856,889,365,365,13,274,274,259,259,259,274,259,259,275,259,259
445,2869,3,2,405,156,157,308,349,157,159,156,14,157,156,159,-4,-4,-4,-5
445,2870,3,1,889,889,389,19,243,29,19,19,19,243,37,243,243,19,243,243
445,2871,3,1,885,889,889,308,308,308,25,23,337,877,889,23,23,23,25,25
445,2872,3,2,19,243,229,56,33,28,29,29,29,29,33,29,29,29,29,29
445,2873,3,1,313,223,235,276,-4,-4,-4,-4,83,78,78,78,78,153,208,159
445,2874,1,1,506,505,514,759,887,514,579,426,696,453,453,889,889,453,486,486
445,2875,3,1,-3,579,376,274,268,274,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2876,3,1,-4,804,274,28,33,274,263,263,263,19,19,263,263,263,243,263
445,2877,3,2,229,229,229,229,229,229,229,19,229,19,229,229,229,229,229,229
445,2878,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,2879,3,2,318,274,389,19,435,318,274,274,318,274,274,274,274,318,-5,-5
445,2880,3,2,19,19,318,19,453,318,274,274,19,19,257,274,19,318,19,19
445,2881,3,1,883,274,887,486,883,469,486,486,486,-5,-5,-5,486,485,486,486
445,2882,3,1,505,869,885,486,887,887,-5,-5,-5,887,19,19,19,887,887,-5
445,2883,3,2,303,313,319,19,19,-5,313,313,313,313,313,313,313,19,8,-4
445,2884,3,1,567,865,567,567,567,19,567,19,869,869,567,869,869,-5,-5,-5
445,2885,3,2,435,435,435,-4,-4,-4,-4,-4,-4,458,435,435,434,277,389,389
445,2886,2,2,877,276,389,313,339,-5,435,435,435,435,435,435,435,435,435,276
445,2887,3,2,469,318,318,19,19,19,274,274,274,318,318,274,379,444,889,337
445,2888,3,1,804,869,274,19,563,889,558,19,573,-5,553,565,565,19,19,-5
445,2889,3,2,889,889,889,276,313,274,19,19,303,253,253,253,253,275,253,253
445,2890,1,1,529,804,-5,-5,-5,-5,-5,-5,-5,573,567,19,19,-5,-5,567
445,2891,1,2,313,319,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2892,3,2,217,444,444,438,437,157,159,75,75,379,75,313,-3,229,-4,-4
445,2893,3,1,48,48,225,225,19,59,166,25,166,166,25,23,23,7,7,7
445,2894,3,2,435,-3,149,274,274,274,256,259,-5,166,256,259,277,13,13,26
445,2895,3,1,885,486,486,486,486,486,883,-4,257,253,285,253,253,19,19,19
445,2896,3,1,274,243,363,253,253,253,313,26,26,376,19,19,19,274,166,166
445,2897,3,2,-5,-5,-5,-5,-5,274,319,188,274,-4,-4,-5,-5,-5,-5,-5
445,2898,3,1,229,229,229,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2899,3,2,345,885,357,276,274,276,274,19,19,19,19,433,433,19,19,274
445,2900,3,2,56,59,59,59,229,229,305,23,19,19,305,-4,-4,-4,-4,-4
445,2901,3,2,199,195,256,194,194,194,183,195,183,19,-5,-5,19,-5,-5,-5
445,2902,3,2,318,19,19,19,19,319,19,363,234,313,27,-4,159,159,105,105
445,2903,3,1,459,188,199,199,195,195,195,195,195,195,184,194,197,197,197,-5
445,2904,3,1,177,199,-4,-4,157,159,156,156,156,156,156,156,157,157,157,157
445,2905,3,1,274,274,274,274,243,274,256,256,256,256,256,256,256,-5,-5,-5
445,2906,3,1,389,223,223,7,7,7,7,7,19,19,43,185,43,43,-5,-5
445,2907,3,1,579,435,579,-5,274,254,254,254,254,254,254,254,254,19,19,19
445,2908,3,2,316,19,229,229,229,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
