23,23,23,23,23,23,23,23,23,23,20,23,23,23,23,23
23,23,23,23,23,23,23,19,4,4,4,4,4,4,4,4
20,20,19,1,1,1,23,1,1,1,1,1,1,1,1,
20,20,20,20,20,19,19,19,19,19,19,19,20,19,19,19
23,23,11,11,31,1,19,2,19,19,19,19,19,19,19,19
23,23,31,31,19,1,19,19,1,1,19,1,1,1,1,1
1,19,19,27,27,31,31,31,1,1,31,1,2,2,2,2
20,20,20,19,19,20,23,23,23,20,20,20,20,20,20,20
1,1,,,,,,,,,,,,,,
31,31,26,27,26,21,24,31,31,31,24,24,24,24,24,27
23,23,20,1,1,18,20,4,1,1,1,2,2,1,1,1
31,20,23,19,29,27,31,23,9,17,17,9,17,17,17,17
23,23,23,23,23,23,23,23,23,23,21,23,23,23,31,23
20,19,20,19,20,20,20,18,18,18,5,20,5,5,5,5
23,23,23,23,23,19,15,15,15,15,15,15,15,15,15,15
18,31,31,31,19,20,19,20,20,20,20,20,20,20,20,20
4,4,4,16,16,4,4,4,4,4,4,18,18,4,4,4
4,4,11,4,26,19,4,19,19,19,1,1,1,1,1,
23,23,31,26,4,4,4,4,18,4,4,4,4,1,5,
31,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1
20,20,1,1,1,2,19,19,19,1,19,19,1,2,2,
23,23,23,23,23,23,23,23,,,,,,,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,19,31,27,27,27,24,27,27,27,27,31,27,27,31,19
23,23,23,23,23,1,1,1,1,23,31,31,31,31,31,31
23,23,23,19,31,31,19,19,19,19,19,19,19,19,19,19
19,19,20,20,20,20,20,20,2,29,1,2,2,20,20,20
23,18,4,20,19,1,19,1,5,16,1,16,16,23,23,19
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
20,20,20,20,20,,,,,,,,,,,
20,2,2,20,1,1,1,1,2,2,2,2,2,1,1,1
11,11,11,11,11,11,1,11,11,10,11,11,11,11,11,11
20,10,10,11,11,11,11,11,18,20,5,18,18,2,1,1
19,23,23,19,23,23,23,19,1,19,1,1,1,1,19,19
19,23,23,23,23,23,23,23,23,23,23,,,,,
23,23,23,23,23,23,20,20,20,20,20,20,20,20,20,20
26,23,20,23,23,23,23,23,23,23,23,23,,,,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,
23,31,27,24,31,31,31,31,27,27,20,31,31,31,31,31
31,31,31,31,31,31,22,18,22,22,22,22,22,22,22,22
31,31,27,27,1,19,1,29,29,4,20,20,20,2,2,2
23,23,23,23,23,23,19,19,1,19,1,19,19,19,19,19
27,24,31,31,31,31,31,26,26,26,26,26,26,26,26,26
31,31,26,30,19,1,19,20,20,20,20,20,20,2,2,2
1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1
21,21,23,21,31,1,20,20,20,20,2,20,20,2,23,23
23,17,17,17,17,7,17,17,17,17,17,17,17,17,17,17
